"Marca temporal","¿Qué estadística crees que refleja mejor el rendimiento de un jugador de básquetbol? ","  ¿Qué posición crees que es la más determinante para ganar un partido?  ","  ¿Qué tan importante crees que es la eficiencia ofensiva (TS%) comparada con el volumen de anotación (puntos por partido)?  ","Al evaluar a un jugador élite, ¿qué aspecto priorizas?  "
"2026/05/13 1:33:34 p.m. GMT-4","Puntos por partido (PPG)","Base (PG)","2","Su rendimiento ofensivo"
"2026/05/13 1:34:51 p.m. GMT-4","Puntos por partido (PPG)","Base (PG)","1","Su rendimiento ofensivo"
"2026/05/13 5:37:59 p.m. GMT-4","Eficiencia global (PER)","Base (PG)","4","Su impacto general en el equipo"
"2026/05/13 6:07:37 p.m. GMT-4","Asistencias + rebotes combinados","Pívot (C)","5","Su impacto general en el equipo"
"2026/05/13 6:22:09 p.m. GMT-4","Asistencias + rebotes combinados","Pívot (C)","4","Su impacto general en el equipo"
"2026/05/13 6:35:07 p.m. GMT-4","Puntos por partido (PPG)","Base (PG)","5","Su rendimiento ofensivo"
"2026/05/13 6:59:02 p.m. GMT-4","Eficiencia global (PER)","Base (PG)","3","Su impacto general en el equipo"
"2026/05/13 7:30:22 p.m. GMT-4","Impacto neto en cancha (BPM)","Base (PG)","5","Su impacto general en el equipo"
"2026/05/13 8:00:26 p.m. GMT-4","Asistencias + rebotes combinados","Pívot (C)","5","Su impacto general en el equipo"
"2026/05/13 8:25:32 p.m. GMT-4","Puntos por partido (PPG)","Base (PG)","3","Su impacto general en el equipo"
"2026/05/13 8:30:18 p.m. GMT-4","Porcentaje de tiro efectivo (TS%)","Base (PG)","3","Su impacto general en el equipo"
"2026/05/13 8:30:59 p.m. GMT-4","Impacto neto en cancha (BPM)","Base (PG)","3","Su impacto general en el equipo"
"2026/05/13 8:31:54 p.m. GMT-4","Eficiencia global (PER)","Base (PG)","4","Su impacto general en el equipo"
"2026/05/13 8:32:14 p.m. GMT-4","Puntos por partido (PPG)","Ala-Pívot (PF)","4","Su impacto general en el equipo"
"2026/05/13 8:40:03 p.m. GMT-4","Asistencias + rebotes combinados","Base (PG)","3","Su rendimiento ofensivo"
"2026/05/13 8:41:09 p.m. GMT-4","Asistencias + rebotes combinados","Alero (SF)","5","Su rendimiento ofensivo"
"2026/05/13 8:49:41 p.m. GMT-4","Eficiencia global (PER)","Base (PG)","5","Su rendimiento defensivo"
"2026/05/13 8:50:56 p.m. GMT-4","Porcentaje de tiro efectivo (TS%)","Base (PG)","3","Su impacto general en el equipo"
"2026/05/13 8:51:32 p.m. GMT-4","Porcentaje de tiro efectivo (TS%)","Ala-Pívot (PF)","4","Su impacto general en el equipo"
"2026/05/13 9:07:25 p.m. GMT-4","Asistencias + rebotes combinados","Base (PG)","3","Su impacto general en el equipo"
"2026/05/13 9:09:47 p.m. GMT-4","Porcentaje de tiro efectivo (TS%)","Alero (SF)","4","Su impacto general en el equipo"
"2026/05/13 9:13:39 p.m. GMT-4","Asistencias + rebotes combinados","Alero (SF)","4","Su rendimiento defensivo"
"2026/05/13 9:22:11 p.m. GMT-4","Porcentaje de tiro efectivo (TS%)","Escolta (SG)","4","Su impacto general en el equipo"
"2026/05/13 9:27:55 p.m. GMT-4","Porcentaje de tiro efectivo (TS%)","Alero (SF)","4","Sus estadísticas en playoffs"
"2026/05/13 9:33:43 p.m. GMT-4","Eficiencia global (PER)","Pívot (C)","3","Su rendimiento defensivo"
